Exhibit,Metric,Category,Group,Year,Value,Question Target,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Supply chain management,All respondents,Next 3 years,45,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Supply chain management,All respondents,Next 3 years,32,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Supply chain management,All respondents,Next 3 years,14,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Supply chain management,All respondents,Next 3 years,9,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Decrease,Service operations,All respondents,Next 3 years,54,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Little or no change,Service operations,All respondents,Next 3 years,23,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Increase,Service operations,All respondents,Next 3 years,12,People,,
"Effect of gen AI adoption on number of employees, by business function, next 3 years",Don't Know,Service operations,All respondents,Next 3 years,10,People,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,1 or more functions,Share of respondents,All respondents,2021,56,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,1 or more functions,Share of respondents,All respondents,2022,50,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,1 or more functions,Share of respondents,All respondents,2023,55,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,2 or more functions,Share of respondents,All respondents,2021,31,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,2 or more functions,Share of respondents,All respondents,2022,27,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,2 or more functions,Share of respondents,All respondents,2023,31,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,3 or more functions,Share of respondents,All respondents,2021,17,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,3 or more functions,Share of respondents,All respondents,2022,14,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,3 or more functions,Share of respondents,All respondents,2023,16,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,4 or more functions,Share of respondents,All respondents,2021,9,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,4 or more functions,Share of respondents,All respondents,2022,6,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,4 or more functions,Share of respondents,All respondents,2023,6,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,5 or more functions,Share of respondents,All respondents,2021,4,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,5 or more functions,Share of respondents,All respondents,2022,2,Organization,,
Number of business functions adopting AI at respondents' their organizations that have adopted AI,5 or more functions,Share of respondents,All respondents,2023,3,Organization,,
